"CAS Registry Number","MITI Number","Chemical Substance Name","Properties","Endpoints"
"64683-40-5","","Compound of 7-amino-4-hydroxy-3-[4-(4-sulfophenyl)diazenyl]phenyl}diazenyl]-2-naphthalenesulfonic acid and bis(2,2',2''-nitrilotriethanol)","Priority Assessment Chemical Substances (PACSs)||","O"
"64864-07-9","","Compound of 2-aminoethanol and methyl dihydrogen phosphate (2:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"65060-02-8","","N,N,N-Trimethylhexadecan-1-aminium methyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"65104-37-2","","Compound of dodecyl dihydrogen phosphate and morpholine (1:2)","Priority Assessment Chemical Substances (PACSs)||","O"
"65104-38-3","","Compound of dodecyl dihydrogen phosphate and 2,2'-iminodiethanol","Priority Assessment Chemical Substances (PACSs)||","O"
"65104-39-4","","Compound of dodecyl dihydrogen phosphate and bis(2,2'-iminodiethanol)","Priority Assessment Chemical Substances (PACSs)||","O"
"65104-49-6","","Compound of 2-(diethylamino)ethanol and dodecyl hydrogen sulfate (1:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"65104-61-2","","Compound of 2,2'-iminodiethanol and tetradecyl hydrogen sulfate (1:1)","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||","O"
"65104-72-5","7-97","alpha-Hexadecen-1-yl-omega-hydroxypoly(oxyethylene)","Priority Assessment Chemical Substances (PACSs)|","O"
"65121-82-6","","Compound of decyl hydrogen sulfate and 2,2'-iminodiethanol (1:1)","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||","O"
"65121-83-7","","Compound of N-cyclohexyldiethylamine and decyl hydrogen sulfate (1:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"65122-24-9","","Compound of hexadecyl dihydrogen phosphate and 2,2'-iminodiethanol (1:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"65138-84-3","","Compound of hexadecyl dihydrogen phosphate and 2,2'-iminodiethanol","Priority Assessment Chemical Substances (PACSs)||","O"
"65151-45-3","","Compound of hexadecyl dihydrogen phosphate and morpholine (1:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"65151-46-4","","Compound of hexadecyl dihydrogen phosphate and morpholine (1:2)","Priority Assessment Chemical Substances (PACSs)||","O"
"65151-79-3","","Compound of octadecyl dihydrogen phosphate and morpholine (1:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"65151-80-6","","Compound of octadecyl dihydrogen phosphate and morpholine (1:2)","Priority Assessment Chemical Substances (PACSs)||","O"
"65412-44-4","2-2807","Sodium 2-hydroxytetradecane-1-sulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"65412-44-4","9-2038","Sodium 2-hydroxytetradecane-1-sulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"65412-44-4","2-1639","Sodium 2-hydroxytetradecane-1-sulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"65423-83-8","7-155","Sodium salt of {dodecyl ether of [(polymer of 2-methyloxirane / oxirane) hydrogen sulfate]}","Priority Assessment Chemical Substances (PACSs)|","O"
"65455-66-5","7-172","2-[2-(Isononylphenoxy)ethoxy]ethanol","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"65455-66-5","3-589","2-[2-(Isononylphenoxy)ethoxy]ethanol","Priority Assessment Chemical Substances (PACSs)|","O"
"65455-72-3","3-589","29-(Isononylphenoxy)-3,6,9,12,15,18,21,24,27-nonaoxanonacosan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"65455-72-3","7-172","29-(Isononylphenoxy)-3,6,9,12,15,18,21,24,27-nonaoxanonacosan-1-ol","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"65501-69-1","","Compound of 6-(benzoylamino)hexanoic acid and 2,2',2''-nitrilotriethanol","Priority Assessment Chemical Substances (PACSs)||","O"
"65510-44-3","","2,3',4,4',5'-pentachlorobiphenyl","Class I specified chemical substance","O"
"65510-45-4","","2,2',3,4,4'-pentachlorobiphenyl","Class I specified chemical substance","O"
"65701-47-5","3-2254","rel-(1R,2S,5R,6S,9S,10R)-1,2,5,6,9,10-Hexabromocyclododecane","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Class I specified chemical substance|","O"
"65996-89-6","9-1741","Coaltar (high-temp)","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"65996-90-9","9-1741","Tar (coal), low-temp.","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"65996-93-2","9-1744","Pitch, coal tar, high-temperature","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"66052-90-2","","Diammonium dihydrogen (1-hydroxyethane-1,1-diyl)bis(phosphonate)","Priority Assessment Chemical Substances (PACSs)||","O"
"66071-88-3","","Compound of castor oil fatty acids and 2,2',2''-nitrilotriethanol","Priority Assessment Chemical Substances (PACSs)||","O"
"66072-07-9","9-1677","Potassium salt of palm oil fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"66072-07-9","2-611","Potassium salt of palm oil fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"66115-57-9","4-18","2,2',4,4'-Tetrabromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"66161-59-9","","Compound of dodecyl hydrogen sulfate and 1,1'-iminobis(propan-2-ol) (1:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"66375-32-4","","Dihydrazine sulfate monohydrate","Priority Assessment Chemical Substances (PACSs)||","O"
"66455-14-9","7-97","Ethoxylated alcohols(C=12-13)","Priority Assessment Chemical Substances (PACSs)|","O"
"66455-15-0","7-97","Ethoxylated alcohols(C=10-14)","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)|","O"
"66455-17-2","2-3704","C9-11 Alcohols","Priority Assessment Chemical Substances (PACSs)|","O"
"66455-17-2","2-217","C9-11 Alcohols","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)|","O"
"66455-29-6","2-1289","Alkyl(C=12-14)(dimethyl)betaines","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"66455-29-6","2-1291","Alkyl(C=12-14)(dimethyl)betaines","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)|","O"
"66455-29-6","2-2709","Alkyl(C=12-14)(dimethyl)betaines","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)|","O"
"66534-89-2","2-217","3-Ethyl-7-methyloctan-3-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"66534-89-2","2-3704","3-Ethyl-7-methyloctan-3-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"66558-66-5","","Compound of 2,2'-{ethane-1,2-diylbis[(methoxycarbonyl)imino]}diacetic acid and 2,2',2''-nitrilotriethanol","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||","O"
"66605-94-5","2-3704","10,10-Dimethylundecan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"66605-94-5","2-217","10,10-Dimethylundecan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"67246-71-3","","Pentachlorophenyl 5-oxopyrrolidine-2-carboxylate","Class I specified chemical substance","O"
"67267-96-3","3-1906","Sodium 4-(tridecan-7-yl)benzenesulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"67267-96-3","3-1884","Sodium 4-(tridecan-7-yl)benzenesulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"67267-96-3","3-1949","Sodium 4-(tridecan-7-yl)benzenesulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"67584-64-9","","Compound of 2,2'-iminodiethanol and 4-(2-methyl-2-propanyl)benzoic acid","Priority Assessment Chemical Substances (PACSs)||","O"
"67612-03-7","9-2038","Sodium hydroxytetradecane-1-sulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"67612-03-7","2-1639","Sodium hydroxytetradecane-1-sulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"67612-03-7","2-2807","Sodium hydroxytetradecane-1-sulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"67614-05-5","","4-Methylaniline hydrobromide","Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"67633-57-2","","1-Ethyl-1-(2-hydroxyethyl)-2-(15-methylhexadecyl)-4,5-dihydro-1H-imidazol-1-ium ethyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"67633-63-0","","N-Ethyl-N,N-dimethyl-3-[(16-methylheptadecanoyl)amino]-1-propanaminium ethyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"67633-87-8","","Compound of 2,2'-iminodiethanol and octyl hydrogen sulfate (1:1)","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||","O"
"67633-88-9","","Ammonium octyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"67700-98-5","2-176","(C10-16-Alkyl)dimethylamines","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"67701-09-1","9-1677","Potassium salts of fatty acids(C8-18 and C18-unsatd.)","Priority Assessment Chemical Substances (PACSs)|","O"
"67701-09-1","2-611","Potassium salts of fatty acids(C8-18 and C18-unsatd.)","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"67701-10-4","2-611","Fatty acids, C8-18 and C18-unsatd., sodium salts","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"67701-10-4","7-973","Fatty acids, C8-18 and C18-unsatd., sodium salts","Priority Assessment Chemical Substances (PACSs)|","O"
"67701-11-5","2-611","Sodium salt of C14-18,C16-18-unsaturated fatty acids","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"67701-11-5","7-973","Sodium salt of C14-18,C16-18-unsaturated fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"67701-14-8","7-973","Sodium salt of C14-26 fatty acids","Priority Assessment Chemical Substances (PACSs)|","O"
"67701-14-8","2-611","Sodium salt of C14-26 fatty acids","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"67701-17-1","","Compounds of fatty acid (C=18 unsaturated) dimers and 2,2'-iminodiethanol","Priority Assessment Chemical Substances (PACSs)||","O"
"67762-25-8","2-3704","C12-18 Alcohols","Priority Assessment Chemical Substances (PACSs)|","O"
"67762-25-8","2-217","C12-18 Alcohols","Priority Assessment Chemical Substances (PACSs)|","O"
"67762-30-5","2-3704","C14-18 Alcohols","Priority Assessment Chemical Substances (PACSs)|","O"
"67762-30-5","2-217","C14-18 Alcohols","Priority Assessment Chemical Substances (PACSs)|","O"
"67762-41-8","2-217","C10-16 Alcohols","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||","O"
"67762-41-8","2-3704","C10-16 Alcohols","Priority Assessment Chemical Substances (PACSs)|","O"
"67772-01-4","6-1362","Poly[(methyl methacrylate)-co-(octan-1-yl acrylate)-co-(tributan-1-ylstannyl methacrylate)]","Existing chemical substances|Class II specified chemical substance|","O"
"67826-97-5","2-3704","4-Ethyl-3,5-dimethylheptan-4-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"67826-97-5","2-217","4-Ethyl-3,5-dimethylheptan-4-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"67843-74-7","2-275","Oxirane, (chloromethyl)-, (2S)-","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"67846-16-6","","N-Ethyl-N,N-dimethyl-3-(stearoylamino)propan-1-aminium,ethyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"67888-96-4","4-18","2,2',4,5,5'-Pentabromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"67888-97-5","4-18","2,3',4,4',5-Pentabromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"67888-98-6","","2,2',3,4,4',5'-Hexabromobiphenyl","Class I specified chemical substance","O"
"67888-99-7","","2,3',4,4',5,5'-Hexabromobiphenyl","Class I specified chemical substance","O"
"67905-19-5","2-2658","Perfluorohexadecanoic acid","Existing chemical substances|Monitoring Chemical Substances","O"
"67922-21-8","4-317","1,2,4,7-Tetrachloronaphthalene","Existing chemical substances|Class I specified chemical substance","O"
"67922-22-9","4-317","1,2,5,6-Tetrachloronaphthalene","Existing chemical substances|Class I specified chemical substance","O"
"67922-23-0","4-317","1,2,5,7-Tetrachloronaphthalene","Existing chemical substances|Class I specified chemical substance","O"
"67922-24-1","4-317","1,2,6,8-Tetrachloronaphthalene","Existing chemical substances|Class I specified chemical substance","O"
"67922-25-2","4-317","1,2,3,4,5-Pentachloronaphthalene","Existing chemical substances|Class I specified chemical substance","O"
"67922-26-3","4-317","1,2,3,4,6-Pentachloronaphthalene","Existing chemical substances|Class I specified chemical substance","O"
"67922-27-4","","1,2,3,4,5,7-Hexachloronaphthalene","Class I specified chemical substance","O"
"67953-76-8","2-4162","Potassium salt of (1-hydroxyethane-1,1-diyl)bis(phosphonic acid)","Priority Assessment Chemical Substances (PACSs)|","O"
"67953-76-8","2-2936","Potassium salt of (1-hydroxyethane-1,1-diyl)bis(phosphonic acid)","Priority Assessment Chemical Substances (PACSs)|","O"
"68002-80-2","2-611","Potassium salts of fatty acids(C14-18,C16-18-unsaturated)","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"68002-80-2","9-1677","Potassium salts of fatty acids(C14-18,C16-18-unsaturated)","Priority Assessment Chemical Substances (PACSs)|","O"
"68002-82-4","","Compound of fatty acid (C=16-18 and C18-unsaturated) and 2,2'-iminodiethanol","Priority Assessment Chemical Substances (PACSs)||","O"
"68002-97-1","7-97","Ethoxylated alcohols(C=10-16)","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)|","O"
"68015-67-8","7-97","Poly(oxy-1,2-ethanediyl), .alpha.-(2,3,4,5-tetramethylnonyl)-.omega.-hydroxy-","Priority Assessment Chemical Substances (PACSs)|","O"
"68037-49-0","2-1640","Sodium salt of C10-18 alkanesulfonic acids","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"68037-91-2","8-342","C14-18 Alkylamines","Priority Assessment Chemical Substances (PACSs)|","O"
"68037-91-2","2-176","C14-18 Alkylamines","Priority Assessment Chemical Substances (PACSs)|","O"
"68037-91-2","2-133","C14-18 Alkylamines","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"68037-91-2","2-185","C14-18 Alkylamines","Priority Assessment Chemical Substances (PACSs)|","O"
"68037-91-2","8-310","C14-18 Alkylamines","Priority Assessment Chemical Substances (PACSs)|","O"
"68037-92-3","8-310","C16-22 Alkylamines","Priority Assessment Chemical Substances (PACSs)|","O"
"68037-92-3","2-133","C16-22 Alkylamines","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"68037-92-3","2-185","C16-22 Alkylamines","Priority Assessment Chemical Substances (PACSs)|","O"
"68037-92-3","2-176","C16-22 Alkylamines","Priority Assessment Chemical Substances (PACSs)|","O"
"68037-92-3","8-342","C16-22 Alkylamines","Priority Assessment Chemical Substances (PACSs)|","O"
"68052-51-7","","N,N-Dibutyl-N-ethylbutan-1-aminium ethyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"68081-81-2","3-1906","Sodium salt of C10-16 alkylbenzensulfonic acid","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"68081-81-2","3-1949","Sodium salt of C10-16 alkylbenzensulfonic acid","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"68081-81-2","3-1884","Sodium salt of C10-16 alkylbenzensulfonic acid","Priority Assessment Chemical Substances (PACSs)|","O"
"68081-91-4","7-155","Sodium salt of [alkyl(C=12-18) ether of alpha-hydro-omega-sulfooxypoly(oxyethylene)]","Priority Assessment Chemical Substances (PACSs)|","O"
"68081-96-9","","Ammonium C10-16-alkyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"68130-43-8","2-1679","Sodium alkyl(C=8-18) sulfate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"68131-39-5","7-97","Ethoxylated alcohols(C=12-15)","Priority Assessment Chemical Substances (PACSs)|","O"
"68131-40-8","7-97","Ethoxylated sec-alcohols(C=11-15)","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)|","O"
"68132-46-7","","Compound of 2,2',2''-nitrilotriethanol and tall oil fatty acids","Priority Assessment Chemical Substances (PACSs)||","O"
